time,load
1/1/2018 16:00,1446.7
1/1/2018 16:00,2949.3
1/1/2018 16:00,1227.8
1/1/2018 16:00,463.2
1/1/2018 16:00,6806.7
1/1/2018 16:00,659.8
1/1/2018 16:00,2055.2
1/1/2018 17:00,1980.6
1/1/2018 17:00,2519.4
1/1/2018 17:00,859.1
1/1/2018 17:00,1495.4
1/1/2018 17:00,1560.5
1/1/2018 17:00,3232.4
1/1/2018 17:00,1311.5
1/1/2018 17:00,512.9
1/1/2018 17:00,7081.9
1/1/2018 17:00,679
1/1/2018 17:00,2202.2
1/1/2018 18:00,1969.2
1/1/2018 18:00,2511.3
1/1/2018 18:00,868.8
1/1/2018 18:00,1483.4
1/1/2018 18:00,1559
1/1/2018 18:00,3242.6
1/1/2018 18:00,1307.6
1/1/2018 18:00,522.6
1/1/2018 18:00,7081.9
1/1/2018 18:00,681.9
1/1/2018 18:00,2206.6
1/1/2018 19:00,1945.2
1/1/2018 19:00,2469.6
1/1/2018 19:00,860.1
1/1/2018 19:00,1451.8
1/1/2018 19:00,1537.8
1/1/2018 19:00,3187.2
1/1/2018 19:00,1280.9
1/1/2018 19:00,517.8
1/1/2018 19:00,7024.2
1/1/2018 19:00,680.5
1/1/2018 19:00,2193.3
1/1/2018 20:00,1885.9
1/1/2018 20:00,2426.3
1/1/2018 20:00,841.1
1/1/2018 20:00,1404.7
1/1/2018 20:00,1499.7
1/1/2018 20:00,3104.1
1/1/2018 20:00,1240.5
1/1/2018 20:00,498.5
1/1/2018 20:00,6905.9
1/1/2018 20:00,693.9
1/1/2018 20:00,2150.1
1/1/2018 21:00,1798.3
1/1/2018 21:00,2314.2
1/1/2018 21:00,797.7
1/1/2018 21:00,1334.9
1/1/2018 21:00,1437.6
1/1/2018 21:00,2958.9
1/1/2018 21:00,1172.8
1/1/2018 21:00,466
1/1/2018 21:00,6725.4
1/1/2018 21:00,684.9
1/1/2018 21:00,2067.9
1/1/2018 22:00,1686.7
1/1/2018 22:00,2168.4
1/1/2018 22:00,736.9
1/1/2018 22:00,1237.5
1/1/2018 22:00,1336.3
1/1/2018 22:00,2738
1/1/2018 22:00,1085.6
1/1/2018 22:00,429.1
1/1/2018 22:00,6433.3
1/1/2018 22:00,658.6
1/1/2018 22:00,1956
1/1/2018 23:00,1593.1
1/1/2018 23:00,2066.1
1/1/2018 23:00,680
1/1/2018 23:00,1145.2
1/1/2018 23:00,1254.4
1/1/2018 23:00,2522.8
1/1/2018 23:00,1028.2
1/1/2018 23:00,392.6
1/1/2018 23:00,6089.4
1/1/2018 23:00,662.9
1/1/2018 23:00,1841.2
1/2/2018 0:00,1542
1/2/2018 0:00,1990.3
1/2/2018 0:00,643.8
1/2/2018 0:00,1097.8
1/2/2018 0:00,1184.8
1/2/2018 0:00,2372.2
1/2/2018 0:00,986
1/2/2018 0:00,385.2
1/2/2018 0:00,5801.4
1/2/2018 0:00,652.4
1/2/2018 0:00,1783.4
1/2/2018 1:00,1516.8
1/2/2018 1:00,1950.2
1/2/2018 1:00,625
1/2/2018 1:00,1068.7
1/2/2018 1:00,1163.1
1/2/2018 1:00,2278.7
1/2/2018 1:00,973.1
1/2/2018 1:00,359.4
1/2/2018 1:00,5582.1
1/2/2018 1:00,647.4
1/2/2018 1:00,1743.8
1/2/2018 2:00,1505
1/2/2018 2:00,1947.1
1/2/2018 2:00,606.2
1/2/2018 2:00,1058.4
1/2/2018 2:00,1151.8
1/2/2018 2:00,2246
1/2/2018 2:00,966.6
1/2/2018 2:00,353.3
1/2/2018 2:00,5465.1
1/2/2018 2:00,646.4
1/2/2018 2:00,1729.5
1/2/2018 3:00,1505.2
1/2/2018 3:00,1944
1/2/2018 3:00,597.4
1/2/2018 3:00,1057.6
1/2/2018 3:00,1148.7
1/2/2018 3:00,2235.6
1/2/2018 3:00,973.5
1/2/2018 3:00,353.7
1/2/2018 3:00,5415.7
1/2/2018 3:00,648.2
1/2/2018 3:00,1728.5
1/2/2018 4:00,1532.9
1/2/2018 4:00,1981.7
1/2/2018 4:00,607.5
1/2/2018 4:00,1087.8
1/2/2018 4:00,1162.9
1/2/2018 4:00,2267.4
1/2/2018 4:00,995.2
1/2/2018 4:00,361.4
1/2/2018 4:00,5463.9
1/2/2018 4:00,656.9
1/2/2018 4:00,1763.5
1/2/2018 5:00,1605.2
1/2/2018 5:00,2094.7
1/2/2018 5:00,647
1/2/2018 5:00,1163.3
1/2/2018 5:00,1226.9
1/2/2018 5:00,2386
1/2/2018 5:00,1040.4
1/2/2018 5:00,379
1/2/2018 5:00,5723.2
1/2/2018 5:00,672.7
1/2/2018 5:00,1844.5
1/2/2018 6:00,1756
1/2/2018 6:00,2274.6
1/2/2018 6:00,710.3
1/2/2018 6:00,1281.9
1/2/2018 6:00,1326.8
1/2/2018 6:00,2642
1/2/2018 6:00,1141.5
1/2/2018 6:00,424.5
1/2/2018 6:00,6219
1/2/2018 6:00,700.2
1/2/2018 6:00,1979
1/2/2018 7:00,1840.2
1/2/2018 7:00,2379.5
1/2/2018 7:00,774.9
1/2/2018 7:00,1367.9
1/2/2018 7:00,1393.4
1/2/2018 7:00,2797.9
1/2/2018 7:00,1204.6
1/2/2018 7:00,441.9
1/2/2018 7:00,6705.3
1/2/2018 7:00,717.4
1/2/2018 7:00,2107.7
1/2/2018 8:00,1848.5
1/2/2018 8:00,2389.8
1/2/2018 8:00,802.2
1/2/2018 8:00,1381.5
1/2/2018 8:00,1401.1
1/2/2018 8:00,2826.8
1/2/2018 8:00,1247.5
1/2/2018 8:00,437.2
1/2/2018 8:00,7007.5
1/2/2018 8:00,713.9
1/2/2018 8:00,2142.9
1/2/2018 9:00,1863.4
1/2/2018 9:00,2405.9
1/2/2018 9:00,816.1
1/2/2018 9:00,1404.9
1/2/2018 9:00,1400.6
1/2/2018 9:00,2821
1/2/2018 9:00,1272.5
1/2/2018 9:00,435.7
1/2/2018 9:00,7230.3
1/2/2018 9:00,708.7
1/2/2018 9:00,2173.9
1/2/2018 10:00,1847.7
1/2/2018 10:00,2421.2
1/2/2018 10:00,818.9
1/2/2018 10:00,1414.7
1/2/2018 10:00,1395.1
1/2/2018 10:00,2813.2
1/2/2018 10:00,1277.3
1/2/2018 10:00,431
1/2/2018 10:00,7336.9
1/2/2018 10:00,706.1
